"id","publication_year","discipline","field","title","discovery_class","ai_role","human_role","evidence_stage","validation_tier","novelty_scope","reported_result","primary_source_url","supporting_source_url","caveat"
"AST-2017-001","2017","Astronomy","Exoplanets","Kepler-90i and Kepler-80g","observational object discovery","A neural network ranked weak transit-like signals in archival Kepler data.","Researchers selected training data, inspected the signals, and performed astronomical and statistical validation.","observed and statistically validated","A","previously missed celestial objects","Two previously missed planets were found; Kepler-90 became the first known eight-planet system outside the Solar System.","https://science.nasa.gov/universe/exoplanets/discovery-of-eight-planets-makes-alien-system-the-first-to-tie-with-our-solar-system/","https://doi.org/10.3847/1538-3881/aa9bea","The AI did not observe the sky autonomously; it re-analysed archival signals and the discovery still depended on human validation."
"AST-2018-002","2018","Astronomy","Radio astronomy","Seventy-two additional bursts from FRB 121102","signal discovery","A convolutional neural network searched a five-hour radio dataset for burst morphology.","Researchers dedispersed and inspected the returned events and interpreted the burst timing.","observed signals verified in archival telescope data","A","new events from a known source","The model recovered 72 bursts missed by the conventional search, raising the dataset total from 21 to 93.","https://doi.org/10.3847/1538-4357/aadf31","https://arxiv.org/abs/1809.03043","This was archival re-analysis of a known repeating fast-radio-burst source, not discovery of a new source."
"AST-2024-003","2024","Astronomy","Time-domain astronomy","SN 2023tyk end-to-end autonomous transient discovery workflow","workflow-enabled object discovery","BTSbot classified a transient candidate, triggered robotic spectroscopy, classified the spectrum, and submitted the result without human intervention.","Humans designed the pipeline, operated the surveys and instruments, and audited the resulting record.","observed, spectroscopically classified, and publicly reported","A","new astronomical transient plus autonomous workflow milestone","SN 2023tyk was the first reported transient to complete the discovery-to-classification-to-public-report chain without human action.","https://arxiv.org/abs/2401.15167","https://www.wis-tns.org/astronotes/astronote/2023-265","The scientific object was detected by survey infrastructure; the novelty is the AI-orchestrated end-to-end workflow, not autonomous physical interpretation."
"EAR-2020-004","2020","Planetary and Earth science","Lunar geomorphology","109,956 previously unrecognized lunar craters","large-scale feature discovery","A transfer-learning system detected craters and estimated geologic ages from Chang'E imagery and elevation data.","Researchers curated training data, assessed error and recovery rates, and interpreted crater chronology.","peer-reviewed computational mapping with benchmark validation","B","previously uncatalogued planetary surface features","The study reported 109,956 new craters and estimated formation systems for 18,996 craters larger than 8 km.","https://www.nature.com/articles/s41467-020-20215-y","https://doi.org/10.1038/s41467-020-20215-y","Most entries are model-detected map features rather than individually field-verified objects; age assignments are model estimates."
"EAR-2026-005","2026","Planetary and Earth science","Seismology","Upper-mantle earthquakes beneath East Antarctica","hidden-event and geophysical-process discovery","Deep learning with transfer learning detected small seismic events across 49 stations.","Researchers visually checked waveforms, located events, and interpreted the tectonic mechanism.","observational catalog with manual waveform checks","A","previously unknown earthquake population and process evidence","The catalog contained 1,068 events beneath David Glacier, including 510 intermediate-depth earthquakes at roughly 100-150 km, revealing unexpected intraplate seismicity.","https://doi.org/10.1126/science.aea9895","https://geo.ua.edu/wp-content/uploads/2012/11/Ho_etal_Science_2026.pdf","The physical interpretation remains a scientific inference from the newly detected catalog, not a direct measurement of mantle mechanism."
"ARC-2024-006","2024","Archaeology and paleontology","Archaeology","303 new figurative Nazca geoglyphs","field-verified object discovery","A deep-learning model prioritized likely geoglyph locations in aerial imagery.","Archaeologists inspected candidates on the ground and interpreted style, distribution, and use.","field verified","A","previously undocumented archaeological objects","An AI-accelerated six-month survey found 303 new figurative relief-type geoglyphs, nearly doubling the known count of that class and increasing the discovery rate about sixteen-fold.","https://doi.org/10.1073/pnas.2407652121","https://elib.dlr.de/206765/1/sakai-et-al-2024-ai-accelerated-nazca-survey-nearly-doubles-the-number-of-known-figurative-geoglyphs-and-sheds-light-on.pdf","AI prioritized survey targets; humans made the archaeological confirmation and interpretation."
"PAL-2026-007","2026","Archaeology and paleontology","Paleontology","Uluciala rotundata, the oldest known sepioid","new species and evolutionary evidence","A zero-shot segmentation model isolated fossils from full-colour grinding-tomography image stacks without taxon-specific training.","Paleontologists reconstructed, described, deposited, and taxonomically interpreted the fossils.","physical specimens, peer-reviewed taxonomy, and open 3D models","A","new genus and species plus earliest fossil record","Two approximately 74-67 million-year-old beaks defined Uluciala rotundata and provided intermediate morphology between cuttlefish and bobtail squid lineages.","https://www.nature.com/articles/s42003-026-09519-9","https://doi.org/10.1038/s42003-026-09519-9","The AI segmented candidate fossils; the species diagnosis and evolutionary conclusion were human scientific work."
"MAT-2020-008","2020","Materials and chemistry","Photocatalysis","Sixfold-improved photocatalyst formulation found by a mobile robotic chemist","closed-loop experimental discovery","Bayesian search selected experiments for a mobile robot across a ten-variable formulation space.","Chemists defined the objective, reagents and apparatus and interpreted the optimized mixture.","688 physical experiments over eight days","A","new high-performing formulation","The autonomous campaign found a photocatalyst mixture with activity about six times higher than the initial formulations.","https://www.nature.com/articles/s41586-020-2442-2","https://doi.org/10.1038/s41586-020-2442-2","This is discovery of an optimized mixture under a specified assay, not a new fundamental catalytic law or necessarily a new molecule."
"MAT-2023-009","2023","Materials and chemistry","Inorganic materials","GNoME stable-material candidate atlas","computational candidate discovery","Graph networks predicted stability across a very large inorganic crystal search space.","Materials scientists constructed the training corpus, recalculated stability, compared against experiments, and assessed limitations.","published computational atlas with partial experimental matches","B","new predicted crystal structures","The study reported 2.2 million stable structures, 381,000 on the updated convex hull, 45,500 new prototypes, and 736 matches to independently synthesized structures.","https://www.nature.com/articles/s41586-023-06735-9","https://doi.org/10.1038/s41586-023-06735-9","The headline structures are predictions, not 381,000 synthesized materials; stability can change with better calculations and says little by itself about synthesizability or useful properties."
"MAT-2025-010","2025","Materials and chemistry","Generative materials design","MatterGen target-conditioned inorganic material","AI-designed and experimentally synthesized material","A diffusion model generated crystal structures conditioned on target properties.","Scientists selected a candidate, synthesized it, characterized it, and compared the measured property with the design target.","physical synthesis and property measurement","A","new AI-designed material candidate","A generated material was synthesized as a proof of concept and its measured target property was within about 20% of the requested value.","https://www.nature.com/articles/s41586-025-08628-5","https://doi.org/10.1038/s41586-025-08628-5","One proof-of-concept synthesis does not experimentally validate the much larger generated candidate space or establish manufacturability."
