"discipline","included_cases","review_status","what_was_covered","main_gap_or_next_search"
"Astronomy","3","seed audit complete","Exoplanets, radio transients, autonomous transient classification","Systematic sweep of stellar, galactic, gravitational-wave, and cosmology literature."
"Planetary and Earth science","2","seed audit partial","Lunar mapping and seismology","Climate, oceanography, atmospheric chemistry, hydrology, mineralogy, and remote-sensing discoveries need dedicated reviews."
"Archaeology and paleontology","2","seed audit partial","Nazca survey and fossil segmentation","Broader satellite archaeology, paleoanthropology, and fossil-tomography literature needs systematic screening."
"Materials and chemistry","3","seed audit partial","Closed-loop formulation search, crystal prediction, generative material design","Catalysis, reaction discovery, polymers, batteries, and contested autonomous-lab claims need target-by-target novelty audits."
"Biomedical science","11","seed audit strong but not exhaustive","Antibiotics, senolytics, fibrosis, cancer, ophthalmology","Cancer targets, rare disease, immunology, protein and peptide design, diagnostics, and later-stage replication need systematic expansion."
"Genomics and virology","1","seed audit partial","Metatranscriptomic RNA-virus discovery","Gene regulation, microbiome, protein function, genome annotation, and synthetic biology remain under-covered."
"Ecology and animal behaviour","1","seed audit partial","Sperm-whale communication structure","Biodiversity surveys, conservation, species discovery, migration, and ecosystem mechanisms need dedicated review."
"Neuroscience","2","seed audit partial","Connectomics and circuit wiring rules","Human, vertebrate, molecular, cognitive, and clinical neuroscience remain under-covered."
"Physics","0","no strict empirical case included","Quantum-design and theory examples were screened but did not meet the empirical rule","Search experimental particle, condensed-matter, plasma, fusion, optics, and quantum laboratories for AI-originated and physically validated novelty."
"Botany and agricultural science","0","not yet systematically audited","No claim was counted from the initial broad sweep","Review plant genomics, crop breeding, phenotyping, soil science, and automated greenhouse laboratories."
"Other social and behavioural sciences","0","outside initial natural-science emphasis","Archaeology was included because it produced field-verified physical discoveries","Define whether the future registry should include economics, psychology, linguistics, and computational social science."
